2026-09-21 14:39:09,766 - Model=LightGBM | Resp=sis | Time=10.70s
2026-09-21 14:39:10,826 - Model=DecisionTreeRegressor (DT) | Resp=sis | Time=1.06s
2026-09-21 14:39:13,023 - Model=SVR | Resp=sis | Time=2.20s
2026-09-21 14:39:35,461 - Model=XGBoost | Resp=sis | Time=22.44s
2026-09-21 14:40:00,756 - Model=CatBoost | Resp=sis | Time=25.30s
2026-09-21 14:40:11,275 - Model=LightGBM | Resp=sis | Time=10.52s
2026-09-21 14:40:12,321 - Model=DecisionTreeRegressor (DT) | Resp=sis | Time=1.05s
2026-09-21 14:40:14,516 - Model=SVR | Resp=sis | Time=2.20s
2026-09-21 14:40:36,877 - Model=XGBoost | Resp=sis | Time=22.36s
2026-09-21 14:41:02,305 - Model=CatBoost | Resp=sis | Time=25.43s
2026-09-21 14:41:12,712 - Model=LightGBM | Resp=sis | Time=10.41s
2026-09-21 14:41:13,817 - Model=DecisionTreeRegressor (DT) | Resp=sis | Time=1.10s
2026-09-21 14:41:16,013 - Model=SVR | Resp=sis | Time=2.20s
2026-09-21 14:41:38,567 - Model=XGBoost | Resp=oks | Time=22.55s
2026-09-21 14:42:03,554 - Model=CatBoost | Resp=oks | Time=24.99s
2026-09-21 14:42:14,038 - Model=LightGBM | Resp=oks | Time=10.48s
2026-09-21 14:42:15,297 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.26s
2026-09-21 14:42:17,537 - Model=SVR | Resp=oks | Time=2.24s
2026-09-21 14:42:43,340 - Model=XGBoost | Resp=oks | Time=25.80s
2026-09-21 14:43:06,988 - Model=CatBoost | Resp=oks | Time=23.65s
2026-09-21 14:43:18,642 - Model=LightGBM | Resp=oks | Time=11.65s
2026-09-21 14:43:19,925 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.28s
2026-09-21 14:43:22,149 - Model=SVR | Resp=oks | Time=2.22s
2026-09-21 14:43:45,155 - Model=XGBoost | Resp=oks | Time=23.00s
2026-09-21 14:44:10,849 - Model=CatBoost | Resp=oks | Time=25.69s
2026-09-21 14:44:22,225 - Model=LightGBM | Resp=oks | Time=11.38s
2026-09-21 14:44:23,377 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.15s
2026-09-21 14:44:25,604 - Model=SVR | Resp=oks | Time=2.23s
2026-09-21 14:44:49,726 - Model=XGBoost | Resp=oks | Time=24.12s
2026-09-21 14:45:15,957 - Model=CatBoost | Resp=oks | Time=26.23s
2026-09-21 14:45:26,639 - Model=LightGBM | Resp=oks | Time=10.68s
2026-09-21 14:45:27,769 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.13s
2026-09-21 14:45:29,942 - Model=SVR | Resp=oks | Time=2.17s
2026-09-21 14:45:53,764 - Model=XGBoost | Resp=oks | Time=23.82s
2026-09-21 14:46:17,607 - Model=CatBoost | Resp=oks | Time=23.84s
