iter	Passed	Remaining
0	9	181
1	19	171
2	28	161
3	37	150
4	47	142
5	57	133
6	67	124
7	76	114
8	85	104
9	93	93
10	103	84
11	111	74
12	120	65
13	130	55
14	139	46
15	150	37
16	159	28
17	169	18
18	178	9
19	187	0
